physician,area,population,senior,bed,crime,income
23677,4060,8863164,9.7,27700,688936,184230
15153,946,5105067,12.4,21550,436936,110928
7553,1729,2818199,7.1,12449,253526,55003
5905,4205,2498016,10.9,6179,173821,48931
6062,790,2410556,9.2,6369,144524,58818
4861,71,2300664,12.4,8942,680966,38658
4320,9204,2122101,12.5,6104,177593,38287
3823,614,2111687,12.5,9490,193978,36872
6274,1945,1937094,13.9,8840,244725,34525
4718,880,1852810,8.2,6934,214258,38911
6641,135,1585577,15.2,10494,109148,26512
5280,2126,1507319,11.1,4009,124959,35843
4101,1291,1497577,8.7,3342,77009,37728
2463,20062,1418380,8.8,3349,83110,23260
5620,458,1412140,15.6,8132,73150,29776
5158,824,1398468,12.5,4152,35825,35398
5281,730,1336449,17.4,8436,50186,27639
3021,911,1321864,10.8,3904,66723,32071
6147,287,1287348,14.2,5200,43203,40782
3169,738,1279182,10.6,3284,107338,28331
2456,1209,1255488,20.7,5543,107386,28066
3062,1247,1185394,9.9,4086,133098,18383
1385,7208,1170413,13.2,2435,95494,20114
1677,864,1170103,8.3,3672,132495,22027
4020,873,1083592,10.9,3254,50964,29131
2464,966,1041219,10.6,2855,84305,19714
3706,557,1032431,11.3,5395,71753,24474
1194,508,993529,13.1,1056,42595,24062
2748,1045,968532,15.2,4632,55306,17729
2675,540,961437,9.6,4011,82680,18306
2774,242,959275,13.6,4141,73681,17680
4577,433,874866,14.4,3540,37118,29159
3164,407,866228,13.3,4683,57208,17827
1833,1974,863518,24.4,3164,76142,23141
2851,736,851783,14.1,2940,51926,21188
1620,280,851659,26,4458,62344,18404
2025,600,836231,11,2174,51032,17818
2012,1051,834054,12.2,3068,89895,14075
2417,626,827645,13.3,2494,44374,26768
2489,755,826330,10.4,4918,67032,15229
3226,234,825380,15.3,2279,28521,26602
1694,396,818584,6.5,135,30202,23738
3161,606,804219,14.7,2486,52903,17851
1761,720,803732,10.9,1781,51243,20514
2936,396,797159,11.7,4654,61004,15264
2157,334,781666,8.7,1842,29708,20927
2811,126,778206,12.7,4841,75595,19084
4635,495,757027,10.2,1507,34754,22772
969,7911,741459,10.5,2011,52786,13810
5444,81,736014,13.7,6203,87355,12706
1253,486,729268,6.9,1322,54469,14270
2094,737,725956,8.5,2076,58610,11179
4761,47,723959,14.5,3640,71234,20656
705,480,717400,12.3,1202,41048,15011
2438,659,713968,12.5,3077,43780,15451
1902,1513,709705,13.7,2205,7099,14120
1269,599,692134,14,641,46789,16244
3237,483,678111,15,2425,20335,19300
1367,908,677491,10.6,2929,52577,12113
1538,774,672971,10.7,2623,68586,11886
1637,311,671780,11.8,1880,30548,16725
1185,498,670080,14.1,2009,34312,15301
1168,1846,669016,9.4,1372,30235,14330
1188,5963,667490,10.4,1681,62004,10923
1841,9187,666880,13.7,2016,57051,10131
2171,385,664937,13.4,3559,32419,12727
5674,59,663906,12.1,6154,68808,15369
2532,1113,651525,14,4602,55604,12134
1814,449,649623,12.3,1642,30473,18721
3368,529,648951,10,5757,93025,14808
1695,605,633232,13.1,3762,61760,11785
2758,400,616087,14.1,1903,14830,16578
3674,61,606900,12.8,4262,64393,14325
1922,709,599611,12.1,3487,57045,10638
1862,413,596270,15.8,2360,34627,10653
795,1013,591610,8.1,1650,54002,6830
915,1676,586203,10.5,1226,41980,9493
2571,435,583887,13.6,3009,58216,11219
1254,989,576407,7.3,1392,60961,10571
1313,462,573809,12.6,3068,36665,10564
1300,472,553124,12.7,1904,22302,15151
1036,47,553099,12.7,2443,40581,10212
1374,184,547651,15.5,1588,18924,12956
1036,268,545837,8.5,922,56950,11465
682,8142,543477,9.7,1194,36318,8631
879,608,541174,10.9,1435,16894,12202
1093,448,516418,8.4,1499,22349,14138
1216,413,514990,13.8,2226,26228,9570
1114,527,511433,9.4,2021,57999,10710
2293,502,510784,11.6,3847,45237,9963
572,556,506325,14.4,1306,22023,9378
1158,570,503341,11.5,2512,39496,9712
1255,222,502824,12.2,2041,34814,10021
1007,856,500631,10.8,1460,31553,9349
2500,181,496938,13,4018,54238,8238
1362,103,493819,15,2541,30299,12962
1512,156,485765,12.2,1140,30574,9862
666,1399,480628,11.1,1051,41179,7427
1585,1166,480577,10.5,1726,41280,8419
707,497,475594,12.3,2413,29926,7765
1534,780,468973,13,1668,23249,9099
2867,153,467610,13.8,3652,37466,10360
502,2090,465642,9.5,672,20323,8635
1391,340,462361,13,3021,38194,8237
904,619,456310,14.8,1665,24247,8703
831,185,453060,12.9,1912,26434,9955
1237,306,448306,10.2,1648,41625,7666
622,340,447745,6.3,983,27582,9820
1038,426,441946,11.4,1488,27717,9848
551,772,438430,8,298,23453,9206
576,661,435276,11.6,813,14846,9358
513,636,433203,23.2,1475,17379,9086
692,640,430459,10.2,1830,33136,7244
616,416,427239,8.8,617,21826,9740
761,834,423380,7.8,1199,26006,8746
574,949,422822,13.1,1241,13086,7982
1147,469,421353,10.6,1599,12147,13281
1603,331,416444,11.4,2889,26006,8174
559,1875,405382,18.6,1288,37290,6014
930,1000,403662,11.4,1840,34071,7781
563,1019,398978,16.6,1085,23686,7049
548,2127,397014,8,1026,25234,6673
4189,62,396685,16.6,7814,64103,7185
719,805,395066,10.7,1150,13034,9090
679,248,393069,5.9,530,23412,6956
583,803,391511,7.4,742,27587,8812
840,1576,388222,13.4,798,18556,8562
311,1569,383545,10.1,860,26712,3413
841,456,380105,9.2,1876,41592,6797
850,1233,378643,11.8,1898,30409,5448
594,756,376396,10.9,920,9491,9309
495,1106,370712,22.8,1349,25736,5801
558,1495,370522,10.8,1306,25461,5646
522,1023,370321,17.1,1306,7445,6321
875,2739,369608,12.3,1031,18313,8095
595,576,367585,14.4,1537,17466,6211
1603,1202,367085,9.3,1382,20344,7374
852,1764,361364,13.2,1346,20042,5914
298,837,357313,8.6,746,16432,6713
515,3322,355660,9.8,602,17870,6923
1173,477,355054,9.4,925,15238,9287
271,433,352910,4.7,439,17119,7009
1510,771,349660,11.5,2785,42404,6373
676,650,347420,11.9,1188,28212,7070
481,828,340421,8.2,503,21756,5878
460,905,339574,13.1,951,11292,6622
567,859,336523,15.6,1041,12827,6614
587,877,336073,10.3,1050,12843,7589
984,509,335749,12.7,2178,22422,5836
509,804,335113,24.7,1202,18442,6326
594,891,328149,19.7,1495,4982,5383
994,226,325824,13,1724,20153,8480
650,792,320167,11.9,1358,20504,5723
473,521,317471,9.3,1263,16721,6884
358,4824,311921,10.8,656,19489,4588
353,724,311554,10.1,294,12630,6210
479,816,307647,10.4,986,10975,6088
687,556,304715,9.8,677,8935,7010
552,657,300836,11.4,1268,19842,5753
1357,917,295039,10.1,1956,28190,4725
1257,524,292594,14.7,1246,15077,6145
308,467,291479,10.2,878,13850,4882
584,836,291145,10.1,1406,28606,4403
637,347,291130,15.4,1305,12254,5760
357,308,287529,10.3,352,17518,5142
999,757,285720,9.5,1207,24101,4896
738,543,285536,13.5,1573,23532,5209
2188,710,282937,7.5,1730,19367,6446
497,4554,282912,13.1,654,16091,4442
729,559,281912,8.7,1438,17337,4922
308,745,281131,32.3,941,12509,3920
462,1868,278850,11.5,345,12855,5561
631,572,277776,32.1,1363,19801,6930
468,802,275572,13.8,1417,9936,4500
201,570,275227,6.4,283,10953,5814
291,653,274566,6.2,586,25247,3548
216,889,273525,5,458,20372,4869
291,493,271126,11.6,941,9864,4340
1194,410,265878,12.3,1609,21554,5489
931,174,265475,10.1,745,7194,7103
439,1192,265038,7.6,318,19369,4271
601,415,264806,17.1,1473,13181,4305
282,848,264036,5.3,571,17625,5889
291,1998,263590,7,544,10605,3023
329,664,262852,12.7,1088,14563,4256
522,664,262798,11.9,1584,14380,4045
1101,54,261229,10.5,1471,25194,4287
270,906,260120,10.6,825,18842,2530
535,802,259462,11.4,741,9087,5753
486,666,254957,11.9,515,7807,5165
603,6343,254667,10.3,990,18831,5431
1076,869,254441,11.2,2118,28841,4126
521,514,252913,12.7,910,19674,4648
437,1213,250836,15.5,905,9234,4133
275,725,249238,13.9,1120,10666,4481
898,882,248253,13.3,1868,22091,4056
459,374,247105,15,933,6452,4531
417,457,247052,14.1,927,10637,4252
343,695,245845,9.2,514,7295,5352
732,836,243135,13,1104,13816,5194
783,305,240279,10.8,374,8308,7972
449,904,239397,14,1724,21677,4170
399,805,238912,8.9,933,6635,4537
256,628,238053,10.6,299,10706,3997
824,525,237813,14.3,1425,11563,4363
1001,520,230096,12.3,488,9460,8638
199,325,230082,10.8,339,9746,4262
429,446,229734,11.3,390,13707,5060
376,1185,228483,14.3,498,14825,3661
225,616,227813,14.4,925,7315,3678
375,811,226800,12.6,832,17198,3578
231,875,225421,4.9,301,9433,4125
1248,285,225366,9.9,1851,17378,4354
452,743,225339,7.6,387,14124,4827
379,561,224327,14.5,990,25167,5392
614,562,223411,10.6,793,15306,4086
655,900,222636,9.8,1562,14509,3438
239,523,220756,15.1,893,9437,3675
429,459,219039,19.8,1136,4368,3716
950,399,217399,10.5,1592,18586,3858
424,3305,217162,14.1,522,8103,3740
494,440,216935,12.8,1112,18732,3856
196,338,215686,3,153,9001,4431
233,228,215499,12,359,5481,4244
389,839,213641,10.8,778,16414,3806
172,561,212907,6.9,613,7785,3993
460,707,212160,15,816,7435,3831
335,809,211946,12,1193,16190,3583
322,741,211707,28.1,855,16916,3810
419,790,209085,11.6,1102,17388,3653
490,675,207949,13.3,1785,13551,3458
569,903,207619,15.7,1342,10246,3569
367,1055,205775,10.4,557,9701,3866
236,857,204584,17.5,687,4526,3401
406,6226,198213,16.9,1391,7518,3056
375,550,195257,13.4,733,5247,3759
235,1579,194833,22.1,451,14860,2689
289,529,194594,10.8,632,8101,3598
413,667,192493,8.2,823,23363,3161
156,1387,191707,7.8,318,8692,3441
513,1059,191088,8.8,572,10865,2587
233,396,189731,10.7,244,8996,3227
1032,324,189719,10,1787,17918,3024
301,1042,189123,13.6,560,16486,2823
231,4296,188823,13,518,15139,2903
166,305,187941,6.1,248,6279,2517
163,566,187768,9.8,313,6140,3447
695,252,187328,6.1,208,9057,5160
336,396,186605,22,384,7441,4342
278,2601,186136,9.6,409,8921,3190
197,435,186093,16.9,616,4088,2822
160,604,183241,9.4,371,4854,4005
581,620,182827,14.2,1219,12483,3353
125,1044,182201,8.6,340,9469,3113
247,440,182132,8.3,333,6735,3814
327,1640,182120,17.3,625,8939,2741
191,143,182052,5.8,346,15419,2944
1944,291,181835,10.7,1496,15477,3498
1180,874,181596,9.3,1096,18218,2916
215,812,181276,10.3,221,5281,3418
360,216,179278,10.8,1168,11454,2780
185,1929,178403,9.2,337,8587,2491
600,868,178386,13.8,1330,11929,3497
142,357,175093,12.1,368,11865,2857
234,333,175034,12,532,11110,3225
469,656,174821,16.1,725,9512,2960
217,536,174253,6.7,319,12194,2517
278,920,174092,14.1,411,3593,4380
382,997,173025,8.8,805,11508,2934
329,1404,172796,12,322,8904,3485
61,657,171380,8.3,230,3128,2724
615,26,170936,11.3,781,12526,5169
354,68,170045,9.3,836,11776,2606
248,1071,168134,10.9,845,6399,2517
145,701,167611,8.9,259,9814,3038
313,581,165365,10.8,764,7043,2264
258,1127,165304,13,413,4701,3112
411,235,165058,15.7,1376,8405,2986
361,270,164762,8.3,1018,10599,2779
172,991,164587,12.6,404,6027,2947
301,688,163029,18.7,892,3187,2360
494,151,161993,13,1019,18902,2290
199,571,161378,13.7,688,12229,2619
283,727,161238,11.7,500,7882,2791
264,170,161135,15.1,359,7302,3237
451,550,160976,13.1,661,13845,3148
182,509,158983,13,660,12181,2348
266,576,158330,11.1,573,9191,2423
164,464,156198,11.2,478,7573,2619
213,654,154429,13.2,616,5297,2745
108,397,153411,10.4,693,11085,2822
147,779,152585,20,634,2119,2419
167,953,152104,27.5,664,7099,2661
282,2026,152099,22.8,431,9426,3892
127,789,152013,13.5,261,3420,2622
212,341,151976,8.4,210,8427,2572
349,929,151309,13.7,795,11712,2650
299,1325,150522,11.4,731,12377,2275
172,663,150208,9.4,241,4939,2997
82,452,150187,8.7,151,5114,2438
176,573,150171,21,425,9842,2123
438,250,149967,12.9,1010,12701,2632
104,767,149838,4.4,133,7505,1527
127,707,149756,12.3,573,8630,2359
403,206,149285,16.5,721,6364,3087
209,427,148723,15,769,7154,2650
173,400,147548,13.8,463,10131,2461
267,3786,147036,14.1,468,7336,2393
268,3396,146601,11.5,598,4749,2275
348,529,146568,11.6,236,2547,2617
263,2785,146389,16.2,522,7170,2281
113,392,145896,6.6,92,5365,3017
143,725,145607,12.3,431,6568,2545
124,790,145351,18,409,3612,2042
199,718,145196,13.6,456,7525,2063
282,854,144508,8.9,512,4447,2475
175,1134,144053,12.7,505,12459,2117
178,936,143776,9.3,482,5153,2272
377,413,143596,14.3,982,6236,2261
340,369,143196,13.1,235,3409,3456
101,492,142585,9.4,285,2769,2286
268,611,142191,11.2,1043,10605,1972
263,163,142031,11.5,733,6925,2405
164,1062,141895,15.7,653,5178,2156
339,1012,141092,9.6,168,10650,2783
228,640,140510,11.1,511,4860,2414
242,439,140320,12.8,528,6170,2476
88,1124,139551,7.6,185,5724,2084
171,721,139510,12.6,491,7643,2336
375,931,139352,16.9,598,3862,2797
181,489,138053,13.5,534,9071,2322
134,415,136731,9.8,210,5221,2483
172,709,135982,13.3,566,9810,2168
171,3807,135510,8.8,240,8850,1542
163,52,133793,9.6,251,8376,1973
83,551,133600,10.4,182,6726,2308
107,3357,133239,7.9,382,12202,1196
172,3993,131821,10.2,281,7901,2093
696,539,131761,8.1,573,4739,2627
246,1323,131556,12,768,6101,1923
121,683,131497,10.6,276,9525,2198
133,521,130943,8.9,261,3174,3196
140,452,130669,14,655,5373,2093
232,500,130598,9.5,635,6141,2070
213,526,130542,17,654,3196,1929
171,1184,129180,10.5,588,5949,2449
170,418,128932,9.8,379,4014,2265
164,410,128699,9,173,1799,2824
101,687,128300,11.8,192,1380,2106
140,273,128181,12.6,334,6616,2222
203,2120,127780,12.5,214,7070,2045
178,764,126994,12,478,8634,1881
78,552,126677,12,221,5662,1910
144,497,126137,12.9,463,7977,2042
147,1712,125995,11.8,163,5152,2425
376,809,123809,11.6,912,5625,2294
178,1108,123786,9,270,4136,1916
98,649,123692,13.2,297,3140,2227
142,449,123372,10.2,123,3430,2714
259,2389,123051,15.2,555,8640,1747
243,628,122378,12.8,457,10727,2095
125,422,122354,9.7,226,563,2312
170,586,121862,6.7,279,8203,1540
79,953,121771,10.7,269,3582,1806
136,772,121082,14.4,296,3155,1971
150,672,121003,17.2,653,2777,1836
128,1073,120940,11.4,191,6835,2165
182,4028,120317,12.6,391,7226,2013
297,199,120284,12.5,554,11892,2059
237,935,120005,12.1,368,3325,2472
217,393,119659,12.7,494,1064,1878
204,916,119655,12,467,6785,1917
207,3573,119118,12.3,311,5737,1922
153,901,118934,9.3,389,14643,1756
199,1345,118791,10.5,661,4101,1753
232,1235,118710,15.1,668,3826,1873
133,619,118570,8.4,215,6072,1838
179,400,118412,11.9,464,6830,2060
171,581,117206,14.5,725,6103,2112
61,5370,116379,13.7,309,6275,1326
133,609,116034,12.4,486,4901,1598
241,868,115904,13.4,497,4184,1986
68,568,115645,8.2,93,3760,2446
172,1545,115400,12.7,254,3655,1882
170,727,115243,9.4,346,4777,1553
211,799,114344,11.2,731,8421,1711
162,362,113744,15,196,2919,1877
262,2635,113419,12.4,554,3879,1959
208,950,113409,11.2,651,6122,1671
128,617,113269,10.2,124,3759,1985
142,1703,112560,10.1,278,6249,1951
746,685,112379,8.4,1023,5456,1930
132,2686,111974,12.1,378,3851,1423
101,444,111723,13.4,415,4849,1843
127,1069,111486,8.7,347,5979,1475
652,15,111183,10.3,662,8537,3524
123,591,110993,10.3,193,5846,1659
183,694,110975,33.8,632,3741,1816
124,1272,110943,10.9,336,3064,1687
345,754,110765,16.5,1019,5056,2511
114,511,110605,15.2,244,5233,1736
162,333,110006,12.3,241,3838,2140
168,405,109755,13.4,560,4734,1816
82,4175,109303,10.2,221,8042,1587
172,394,108978,8.6,285,1657,1555
257,398,108936,8.2,122,1699,2798
80,533,108276,14.9,485,898,1364
132,431,108213,14.8,340,4152,1873
496,652,107924,9.9,583,4603,1711
184,430,107776,9.5,182,2068,3261
98,1322,107728,13.9,291,9665,1772
114,8124,107714,23.8,159,3952,1474
149,598,107066,13.1,519,6021,1783
104,1135,106913,17.2,504,2982,1723
118,5514,106895,13.8,197,5414,1228
139,900,106611,9,333,7546,2062
69,788,106546,12.2,145,2940,1568
1814,653,106470,10,1437,4310,2184
179,403,106107,15.1,576,3435,1595
164,601,105986,8.5,277,4560,1699
198,470,105259,13.4,527,4020,1700
83,949,105179,10.7,281,4318,1141
166,274,104948,13.3,420,9181,1761
113,553,104666,10.2,263,4682,1397
139,369,104233,10.7,237,3651,1791
114,514,103877,14.6,421,4433,1876
86,506,103461,11.3,195,625,1691
96,529,103281,10.2,259,3285,1706
343,1766,102874,9.8,643,3401,1674
88,666,102637,9.4,214,7138,1211
39,241,102583,4.8,160,2689,1655
123,513,102525,12.5,254,1397,1853
82,1390,101469,7.7,180,4449,1411
84,555,101461,11.6,155,2377,1670
67,461,101154,6.5,104,5279,1954
98,478,101115,30.7,290,4414,1407
193,556,100900,27.5,277,5081,2737
87,539,100498,7.9,188,6537,1323
192,1159,100374,11.3,182,7130,1857
122,582,100043,11.7,464,4693,1647
